Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_out,CO2ppm,CH4ppm,N2Oppm,RerunCO2,RerunCH4,RerunN2O,Reruns,Flagged
66B7 ,66B,14/May/18,1A,14.4,15.4,471.4410727,22.76201233,0.3282889425,,,,,
66B8 ,66B,14/May/18,1B,14.4,15.4,471.5712617,21.9090867,0.3278179574,,,,,
66B9 ,66B,14/May/18,2A,14.4,15.7,468.7954789,22.59368206,0.3271788346,,,,,
66B10 ,66B,14/May/18,2B,14.4,15.7,490.0890919,22.35082162,0.3296113051,,,,,
4A6 ,4A,14/May/18,Atm,,,416.581416,2.026697135,0.3316168903,,,,,
4A7 ,4A,14/May/18,1A,18.5,19.4,415.9882627,3.14044561,0.3306197471,,,,,
4A8 ,4A,14/May/18,1B,18.5,19.4,150.423,177.53,0.388,150.423,177.53,0.388,REPLACED,
4A9 ,4A,14/May/18,2A,18.5,19.7,402.0973715,6.981920341,0.3336398771,,,,,
32A6 ,32A,23/May/18,Atm,,,434.479769,2.266525491,0.3296039541,,,,,
32A7 ,32A,23/May/18,1A,18.7,18.5,265.4322878,36.89879381,0.3211508205,,,,,
32A8 ,32A,23/May/18,1B,18.7,18.5,280.0707927,39.86161151,0.3209694679,,,,,
32A9 ,32A,23/May/18,2A,18.7,18.2,304.005,41.472,0.289,304.005,41.472,0.289,REPLACED,
32A10 ,32A,23/May/18,2B,18.7,18.2,271.8224255,40.49978553,0.3251083326,,,,,
32B6 ,32B,23/May/18,Atm,,,417.311964,2.618758496,0.3273039379,,,,,
32B7 ,32B,23/May/18,1A,20.3,19.2,279.3830954,38.85134347,0.3215678171,,,,,
32B8 ,32B,23/May/18,1B,20.3,19.2,269.5589892,36.07011221,0.3224191876,,,,,
32B9 ,32B,23/May/18,2A,20.3,19.4,280.104261,33.49572481,0.3214105931,,,,,
32B10 ,32B,23/May/18,2B,20.3,19.4,268.3248734,39.93358387,0.3203774554,,,,,
66A6 ,66A,14/May/18,Atm,,,428.7605665,1.957204748,0.3258231735,,,,,
66A7 ,66A,14/May/18,1A,14.6,15.1,248.2879258,7.734598288,0.3316637376,,,,,
66A8 ,66A,14/May/18,1B,14.6,15.1,273.797,8.292,0.311,273.797,8.292,0.311,REPLACED,
66A9 ,66A,14/May/18,2A,14.6,14.9,234.8730439,8.003899707,0.3277537429,,,,,
66A10 ,66A,14/May/18,2B,14.6,14.9,237.782099,7.742401774,0.3262777848,,,,,
23-11 ,23,11/Jun/18,Atm,,,423.1173587,2.068218093,0.2887825134,,,,,
23-12 ,23,11/Jun/18,1A,20.8,21.3,131.7602325,275.2130346,0.2696018369,,,,,
23-13 ,23,11/Jun/18,1B,20.8,21.3,124.9872369,290.5100631,0.2690906988,,,,,
23-14 ,23,11/Jun/18,2A,20.8,21.3,99.32321475,303.7228017,0.2687687508,,,,,
23-15 ,23,11/Jun/18,2B,20.8,21.3,167.9667804,303.0260943,0.2720141989,,,,,
4A11 ,4A,11/Jun/18,Atm,,,419.5326931,1.873470376,0.2851243445,,,,,
